Op	System_1 time per call	System_2 time per call	Time ratio Sys1/Sys2 (one call)	System_1 total op time	System_2 total op time	Time ratio Sys1/Sys2 (all calls)	System_1 occurence	System_2 occurence	Occurence Ratio	System1 cumulative time	System1 % of total time 	System1 cumulative % of total time 	System2 cumulative time	System2 % of total time 	System2 cumulative % of total time 
MEMCPYHtoD@GPU-0@(Transfer)->(320000 bytes)	26.05	29.56	0.8812584573748309	26.05	29.56	0.8812584573748309	1.00	1.00	1.0	8343.52	0.002951924983710587	0.9454681435734722	8325.880000000001	0.003348429206096043	0.9431197482561205
Const@GPU-0@(no input)->(int32 3x1)	1.07	1.10	0.9727272727272727	25.70	26.31	0.9768148992778412	24.00	24.00	1.0	8369.220000000001	0.0029122638035071814	0.9483804073769794	8352.19	0.0029802832345191778	0.9461000314906397
Mul@CPU-0@(400x200)(1x1)->(400x200)	25.33	24.64	1.0280032467532467	25.33	24.64	1.0280032467532467	1.00	1.00	1.0	8394.550000000001	0.002870336270149296	0.9512507436471287	8376.83	0.00279111284297045	0.9488911443336101
FIFOQueueV2@CPU-0@(no input)->(tf_resource 1x1)	16.18	16.53	0.9788263762855414	16.18	16.53	0.9788263762855414	1.00	1.00	1.0	8410.730000000001	0.0018334797019745601	0.9530842233491033	8393.36	0.0018724470492817186	0.9507635913828918
AddN@GPU-0@(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)->(800x1)	7.71	7.75	0.9948387096774194	15.43	15.49	0.9961265332472563	2.00	2.00	1.0	8426.160000000002	0.001748491458681549	0.9548327148077848	8408.85	0.0017546403383771215	0.9525182317212689
ConcatV2@GPU-0@(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(1)->(20x4000)	14.03	14.86	0.9441453566621804	14.03	14.86	0.9441453566621804	1.00	1.00	1.0	8440.190000000002	0.0015898467378679282	0.9564225615456526	8423.710000000001	0.0016832766577329905	0.9542015083790019
StridedSlice@GPU-0@(1)(int32 1x1)(int32 1x1)(int32 1x1)->(int32 1x1)	12.53	14.79	0.8471940500338067	12.53	14.79	0.8471940500338067	1.00	1.00	1.0	8452.720000000003	0.001419870251281906	0.9578424317969345	8438.500000000002	0.0016753473598836426	0.9558768557388855
LSTMBlockCellGrad@GPU-0@(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)->(20x200)(20x800)(200x1)(200x1)(200x1)	12.19	12.43	0.9806918744971842	12.19	12.43	0.9806918744971842	1.00	1.00	1.0	8464.910000000003	0.001381342247655741	0.9592237740445902	8450.930000000002	0.0014080167466770574	0.9572848724855625
Const@GPU-0@(no input)->(int32 1x1)	1.35	1.64	0.8231707317073171	12.14	14.75	0.8230508474576271	9.00	9.00	1.0	8477.050000000003	0.0013756763647695402	0.9605994504093598	8465.680000000002	0.0016708163325411583	0.9589556888181037
LSTMBlockCellGrad@GPU-0@(20x200)(20x200)(20x200)(400x800)(1|2|3x1)(1|2|3x1)(1|2|3x1)(800x1)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)->(20x200)(20x800)(200x1)(200x1)(200x1)	12.09	12.28	0.9845276872964169	12.09	12.28	0.9845276872964169	1.00	1.00	1.0	8489.140000000003	0.0013700104818833395	0.9619694608912431	8477.960000000003	0.0013910253941427405	0.9603467142122464
