Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_11	LSTMBlockCell	GPU-0	0	2449	2449	(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )	100	100	0	Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_11@GPU-0@(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )
Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_15	LSTMBlockCell	GPU-0	0	2448	2448	(20x200)(20x200)(20x200)(400x800)(1|2|3x1)(1|2|3x1)(1|2|3x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )	100	100	0	Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_15@GPU-0@(20x200)(20x200)(20x200)(400x800)(1|2|3x1)(1|2|3x1)(1|2|3x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )
Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_2	LSTMBlockCell	GPU-0	0	2446	2446	(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )	100	100	0	Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_2@GPU-0@(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )
Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_19	LSTMBlockCell	GPU-0	0	2444	2444	(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )	100	100	0	Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_19@GPU-0@(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )
Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_17	LSTMBlockCell	GPU-0	0	2441	2441	(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )	100	100	0	Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_17@GPU-0@(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )
Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_13	LSTMBlockCell	GPU-0	0	2435	2435	(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )	100	100	0	Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_13@GPU-0@(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )
Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_7	LSTMBlockCell	GPU-0	0	2435	2435	(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )	100	100	0	Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_7@GPU-0@(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )
Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_16	LSTMBlockCell	GPU-0	0	2435	2435	(20x200)(20x200)(20x200)(400x800)(1|2|3x1)(1|2|3x1)(1|2|3x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )	100	100	0	Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_16@GPU-0@(20x200)(20x200)(20x200)(400x800)(1|2|3x1)(1|2|3x1)(1|2|3x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )
Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_5	LSTMBlockCell	GPU-0	0	2429	2429	(20x200)(20x200)(20x200)(400x800)(1|2|3x1)(1|2|3x1)(1|2|3x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )	100	100	0	Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_5@GPU-0@(20x200)(20x200)(20x200)(400x800)(1|2|3x1)(1|2|3x1)(1|2|3x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )
Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_14	LSTMBlockCell	GPU-0	0	2424	2424	(20x200)(20x200)(20x200)(400x800)(1|2|3x1)(1|2|3x1)(1|2|3x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )	100	100	0	Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_14@GPU-0@(20x200)(20x200)(20x200)(400x800)(1|2|3x1)(1|2|3x1)(1|2|3x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )
