Op	System_1 time per call	System_2 time per call	Time ratio Sys1/Sys2 (one call)	System_1 total op time	System_2 total op time	Time ratio Sys1/Sys2 (all calls)	System_1 occurence	System_2 occurence	Occurence Ratio	System1 cumulative time	System1 % of total time 	System1 cumulative % of total time 	System2 cumulative time	System2 % of total time 	System2 cumulative % of total time 
StackPopV2@GPU-0@(tf_resource 1x1)->(128x29)	50.36	55.00	0.9156363636363636	34.75	37.95	0.9156785243741765	0.69	0.69	1.0	127078.70000000014	0.0002645046550916387	0.9672779197983841	128667.31999999993	0.0002838173834445399	0.9622667219294148
TensorArrayScatterV3@GPU-0@(tf_resource 1x1)(1x1)(int32 50x1)(50x128x128)(1x1)->(1x1)	189.28	180.78	1.0470184754950769	34.07	32.54	1.0470190534726491	0.18	0.18	1.0	127112.77000000015	0.0002593287366610685	0.9675372485350451	128699.85999999993	0.00024335751402596386	0.9625100794434407
Select@GPU-0@(boolean 128x19)(128x19)(128x19)->(128x19)	47.19	64.94	0.7266707730212504	33.98	46.76	0.7266894781864841	0.72	0.72	1.0	127146.75000000015	0.00025864368863349297	0.9677958922236786	128746.61999999992	0.00034970489722968866	0.9628597843406704
StackPushV2@GPU-0@(tf_resource 1x1)(128x50)->(128x50)	124.70	119.00	1.0478991596638656	33.67	32.13	1.0479302832244008	0.27	0.27	1.0	127180.42000000014	0.0002562840787607331	0.9680521763024393	128778.74999999993	0.00024029123926411246	0.9631000755799346
Reshape@GPU-0@(128x128)(int32 3x1)->(128x1x128)	33.64	34.02	0.988830099941211	33.64	34.02	0.988830099941211	1.00	1.00	1.0	127214.06000000014	0.00025605572941820795	0.9683082320318576	128812.76999999993	0.00025442601804435435	0.963354501597979
MEMCPYHtoD@GPU-0@(Transfer)->(6400 bytes)	124.33	128.59	0.966871451901392	33.57	34.72	0.9668778801843319	0.27	0.27	1.0	127247.63000000015	0.00025552291428564925	0.9685637549461432	128847.48999999993	0.00025966112129629577	0.9636141627192752
Merge@GPU-0@(128x19x128)(128x19x128)->(128x19x128)(int32 1x1)	46.57	47.58	0.9787725935266919	33.53	34.26	0.9786923525977818	0.72	0.72	1.0	127281.16000000015	0.0002552184484956157	0.9688189733946388	128881.74999999993	0.0002562209105878771	0.9638703836298631
ConcatV2@GPU-0@(int32 1x1)(int32 1x1)(int32 1x1)->(int32 2x1)	8.36	10.99	0.7606915377616014	33.45	43.95	0.7610921501706485	4.00	4.00	1.0	127314.61000000015	0.0002546095169155486	0.9690735829115544	128925.69999999992	0.0003286896970326095	0.9641990733268957
Reshape@GPU-0@(128x1)(int32 2x1)->(128x1)	33.25	33.63	0.9887005649717513	33.25	33.63	0.9887005649717513	1.00	1.00	1.0	127347.86000000015	0.0002530871879653809	0.9693266700995198	128959.32999999993	0.00025150931766112984	0.9644505826445569
TensorArrayGatherV3@GPU-0@(tf_resource 1x1)(1x1)(int32 19x1)(1x1)->(19x128x128)	22.99	23.16	0.9926597582037996	32.65	32.89	0.9927029492246883	1.42	1.42	1.0	127380.51000000014	0.00024852020111487775	0.9695751903006347	128992.21999999993	0.0002459750656519346	0.9646965577102088
ApplyGradientDescent@GPU-0@(256x512)(1x1)(int32 1x1)(256x512)->(256x512)	10.86	10.85	1.0009216589861751	32.58	32.55	1.0009216589861751	3.00	3.00	1.0	127413.09000000014	0.00024798738598231905	0.969823177686617	129024.76999999993	0.0002434323012152773	0.964939990011424
Sum@GPU-0@(128x39)(int32 2x1)(int32 1x1)->(1x1)	232.57	242.21	0.9601998265967548	32.56	33.91	0.9601887348864643	0.14	0.14	1.0	127445.65000000014	0.00024783515308730234	0.9700710128397043	129058.67999999993	0.0002536033589619064	0.9651935933703859
MEMCPYHtoD@GPU-0@(Transfer)->(3712 bytes)	35.33	98.52	0.358607389362566	32.15	89.65	0.35861684327941995	0.91	0.91	1.0	127477.80000000013	0.0002447143787394585	0.9703157272184437	129148.32999999993	0.0006704671521950725	0.965864060522581
NextIteration@GPU-0@(384x512)->(384x512)	32.02	33.22	0.9638771824202289	32.02	33.22	0.9638771824202289	1.00	1.00	1.0	127509.82000000014	0.00024372486492184954	0.9705594520833656	129181.54999999993	0.0002484430428992784	0.9661125035654803
Select@GPU-0@(boolean 128x39)(128x39)(128x39)->(128x39)	111.21	145.39	0.7649081780039892	31.14	40.71	0.7649226234340457	0.28	0.28	1.0	127540.96000000014	0.0002370266175411116	0.9707964787009067	129222.25999999994	0.0003044586476950519	0.9664169622131753
Const@GPU-0@(no input)->(int32 2x1)	3.89	3.94	0.9873096446700508	31.12	31.49	0.988250238170848	8.00	8.00	1.0	127572.08000000013	0.00023687438464609485	0.9710333530855528	129253.74999999994	0.00023550485914805168	0.9666524670723233
Merge@GPU-0@(128x29x128)(128x29x128)->(128x29x128)(int32 1x1)	67.39	70.22	0.959698091711763	31.00	32.30	0.9597523219814242	0.46	0.46	1.0	127603.08000000013	0.00023596098727599423	0.9712693140728288	129286.04999999994	0.00024156262148244105	0.9668940296938058
MatMul@GPU-0@(2304x128)(128x17191)->(2304x17191)	3065.00	3098.00	0.9893479664299548	30.65	30.98	0.9893479664299547	0.01	0.01	1.0	127633.73000000013	0.00023329691161320072	0.971502610984442	129317.02999999994	0.0002316907124930658	0.9671257204062988
Size@GPU-0@(int32 19x128)->(int32 1x1)	42.82	6.72	6.37202380952381	30.40	4.77	6.373165618448637	0.71	0.71	1.0	127664.13000000012	0.0002313940004254911	0.9717340049848675	129321.79999999994	3.567348930251529e-05	0.9671613938956014
Switch@GPU-0@(256x128)(int32 1x1)(boolean 1x1)->(256x128)	30.32	30.79	0.9847353036700228	30.32	30.79	0.9847353036700228	1.00	1.00	1.0	127694.45000000013	0.00023078506884542402	0.971964790053713	129352.58999999994	0.00023026975589611023	0.9673916636514975
Enter@GPU-0@(128x128)->(128x128)	1.58	1.61	0.9813664596273292	29.96	30.58	0.9797253106605626	19.00	19.00	1.0	127724.41000000013	0.00022804487673512217	0.9721928349304481	129383.16999999994	0.0002286992249205278	0.9676203628764181
Identity@GPU-0@(128x128)->(128x128)	14.88	16.09	0.9247980111870727	29.76	32.19	0.924510717614166	2.00	2.00	1.0	127754.17000000013	0.00022652254778495447	0.972419357478233	129415.35999999994	0.00024073996239999313	0.9678611028388181
StackPushV2@GPU-0@(tf_resource 1x1)(boolean 128x19)->(boolean 128x19)	81.97	83.42	0.9826180771997123	29.51	30.03	0.9826839826839827	0.36	0.36	1.0	127783.68000000012	0.00022461963659724482	0.9726439771148303	129445.38999999994	0.00022458592950828812	0.9680856887683263
StackPushV2@GPU-0@(tf_resource 1x1)(boolean 128x29)->(boolean 128x29)	125.83	129.26	0.9734643354479344	28.94	29.73	0.9734275142953246	0.23	0.23	1.0	127812.62000000013	0.00022028099908926688	0.9728642581139195	129475.11999999994	0.0002223423138288846	0.9683080310821552
Reshape@GPU-0@(1x1)(int32 1x1)->(1x1)	28.93	34.17	0.8466491074041557	28.93	34.17	0.8466491074041557	1.00	1.00	1.0	127841.55000000012	0.00022020488264175848	0.9730844629965613	129509.28999999994	0.0002555478258840561	0.9685635789080393
