Op rank by time	Time per 1 call	Num of calls per run	Total time per run	Total time %	Total cumulative time	Total cumulative time %	Op name	Device	Input/output tensor shape
17	0.695 ms	6	4.169 ms	1.943 %	171.047 ms	79.724 %	conv5/Conv2D	GPU_0	(128, 256, 13, 13)(3, 3, 256, 256)->(128, 256, 13, 13)
18	0.807 ms	5	4.036 ms	1.881 %	175.082 ms	81.605 %	gradients/conv5/Conv2D_grad/Conv2DBackpropInput	GPU_0	(const)(3, 3, 256, 256)(128, 256, 13, 13)->(128, 256, 13, 13)
19	3.006 ms	1	3.006 ms	1.401 %	178.088 ms	83.006 %	gradients/pool1_grad/MaxPoolGrad	GPU_0	(128, 56, 56, 64)(128, 64, 27, 27)(128, 64, 27, 27)->(128, 64, 56, 56)
20	1.983 ms	1	1.983 ms	0.924 %	180.072 ms	83.930 %	gradients/conv1_grad/ReluGrad	GPU_0	(128, 56, 56, 64)(128, 64, 56, 56)->(128, 64, 56, 56)
21	1.859 ms	1	1.859 ms	0.866 %	181.930 ms	84.796 %	conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer:Transpose	GPU_0	(no input)->(no output)
22	1.792 ms	1	1.792 ms	0.835 %	183.722 ms	85.631 %	conv1/BiasAdd	GPU_0	(128, 64, 56, 56)(64,)->(128, 64, 56, 56)
23	1.772 ms	1	1.772 ms	0.826 %	185.494 ms	86.457 %	conv1:Relu	GPU_0	(no input)->(no output)
24	1.402 ms	1	1.402 ms	0.653 %	186.896 ms	87.111 %	gradients/conv1/BiasAdd_grad/BiasAddGrad	GPU_0	(128, 64, 56, 56)->(64,)
25	1.394 ms	1	1.394 ms	0.650 %	188.289 ms	87.760 %	pool1-0-TransposeNHWCToNCHW-LayoutOptimizer:Transpose	GPU_0	(no input)->(no output)
26	1.389 ms	1	1.389 ms	0.648 %	189.679 ms	88.408 %	gradients/conv2_grad/ReluGrad	GPU_0	(128, 27, 27, 192)(128, 192, 27, 27)->(128, 192, 27, 27)
27	1.386 ms	1	1.386 ms	0.646 %	191.064 ms	89.054 %	gradients/conv1_grad/ReluGrad-0-TransposeNHWCToNCHW-LayoutOptimizer:Transpose	GPU_0	(no input)->(no output)
