Op	System_1 time per call	System_2 time per call	Time ratio Sys1/Sys2 (one call)	System_1 total op time	System_2 total op time	Time ratio Sys1/Sys2 (all calls)	System_1 occurence	System_2 occurence	Occurence Ratio	System1 cumulative time	System1 % of total time 	System1 cumulative % of total time 	System2 cumulative time	System2 % of total time 	System2 cumulative % of total time 
Conv2D@GPU-0@(1x17x17x768)(1x1x768x160)->(1x17x17x160)	24.30	24.46	0.9934587080948487	97.20	97.83	0.9935602575896965	4.00	4.00	1.0	45589.30000000001	0.002007589597463828	0.9416111567454493	46640.57000000002	0.001981200567445975	0.9445397500767018
Conv2D@GPU-0@(1x35x35x288)(1x1x288x64)->(1x35x35x64)	22.70	22.79	0.9960508995173322	90.78	91.16	0.9958315050460729	4.00	4.00	1.0	45680.08000000001	0.00187498954380418	0.9434861462892534	46731.730000000025	0.0018461233131797515	0.9463858733898816
Conv2D@GPU-0@(1x35x35x96)(3x3x96x96)->(1x17x17x96)	89.37	88.66	1.0080081209113467	89.37	88.66	1.0080081209113467	1.00	1.00	1.0	45769.45000000001	0.0018458671021125753	0.945332013391366	46820.39000000003	0.0017954946571579287	0.9481813680470395
BatchNormWithGlobalNormalization@GPU-0@(1x8x8x384)(384x1)(384x1)(384x1)(1)->(1x8x8x384)	6.91	6.85	1.0087591240875913	82.91	82.25	1.0080243161094224	12.00	12.00	1.0	45852.360000000015	0.0017124408798943	0.9470444542712603	46902.64000000003	0.0016656827831179747	0.9498470508301574
MaxPool@GPU-0@(1x147x147x64)->(1x73x73x64)	78.53	78.84	0.9960679857940131	78.53	78.84	0.9960679857940131	1.00	1.00	1.0	45930.890000000014	0.0016219754227246338	0.948666429693985	46981.480000000025	0.0015966252963042081	0.9514436761264616
Relu@GPU-0@(1x17x17x192)->(1x17x17x192)	2.92	2.87	1.0174216027874563	75.92	74.71	1.0161959577031188	26.00	26.00	1.0	46006.81000000001	0.0015680679242742162	0.9502344976182592	47056.190000000024	0.0015129867565561565	0.9529566628830178
Relu@GPU-0@(1x147x147x64)->(1x147x147x64)	69.06	68.31	1.0109793588054459	69.06	68.31	1.0109793588054459	1.00	1.00	1.0	46075.87000000001	0.0014263800164696703	0.9516608776347288	47124.50000000002	0.00138337739714029	0.9543400402801582
Const@GPU-0@(no input)->(384x1)	1.68	1.43	1.1748251748251748	67.34	57.38	1.173579644475427	40.00	40.00	1.0	46143.21000000001	0.0013908547684487055	0.9530517324031775	47181.88000000002	0.0011620289130128802	0.955502069193171
Conv2D@GPU-0@(1x35x35x256)(1x1x256x64)->(1x35x35x64)	20.28	20.34	0.9970501474926254	60.83	61.02	0.9968862667977711	3.00	3.00	1.0	46204.04000000001	0.0012563958355321465	0.9543081282387097	47242.900000000016	0.0012357442361806542	0.9567378134293517
MatMul@GPU-0@(1x2048)(2048x1008)->(1x1008)	58.14	58.55	0.992997438087105	58.14	58.55	0.992997438087105	1.00	1.00	1.0	46262.18000000001	0.0012008359999644749	0.9555089642386742	47301.45000000002	0.0011857231240310932	0.9579235365533828
Concat@GPU-0@(1)(1x17x17x192)(1x17x17x192)(1x17x17x192)(1x17x17x192)->(1x17x17x768)	14.43	14.96	0.9645721925133689	57.71	59.86	0.9640828600066823	4.00	4.00	1.0	46319.89000000001	0.0011919546879592337	0.9567009189266333	47361.31000000002	0.0012122525397865284	0.9591357890931693
AvgPool@GPU-0@(1x8x8x1280)->(1x8x8x1280)	57.48	58.10	0.989328743545611	57.48	58.10	0.989328743545611	1.00	1.00	1.0	46377.37000000001	0.0011872042187471277	0.9578881231453804	47419.41000000002	0.001176609965947165	0.9603123990591165
Const@GPU-0@(no input)->(64x1)	1.38	1.02	1.352941176470588	55.04	40.99	1.3427665284215662	40.00	40.00	1.0	46432.41000000001	0.0011368079366708753	0.9590249310820513	47460.400000000016	0.0008301074441338089	0.9611425065032503
MaxPool@GPU-0@(1x71x71x192)->(1x35x35x192)	54.97	55.51	0.9902720230589083	54.97	55.51	0.9902720230589083	1.00	1.00	1.0	46487.38000000001	0.001135362141693278	0.9601602932237446	47515.91000000002	0.0011241586783085566	0.9622666651815588
Const@GPU-0@(no input)->(160x1)	1.43	1.19	1.2016806722689075	52.77	44.01	1.1990456714383095	37.00	37.00	1.0	46540.15000000001	0.001089922870968788	0.9612502160947134	47559.92000000002	0.0008912668606081709	0.9631579320421669
Identity@GPU-0@(1x17x17x192)->(1x17x17x192)	2.01	1.87	1.0748663101604277	52.26	48.52	1.0770816158285241	26.00	26.00	1.0	46592.41000000001	0.0010793892218462927	0.9623296053165596	47608.44000000002	0.0009826009560715396	0.9641405329982384
Conv2D@GPU-0@(1x73x73x64)(1x1x64x80)->(1x73x73x80)	48.65	48.82	0.996517820565342	48.65	48.82	0.996517820565342	1.00	1.00	1.0	46641.06000000001	0.0010048275094301977	0.9633344328259899	47657.26000000002	0.0009886763947941583	0.9651292093930326
AvgPool@GPU-0@(1x8x8x2048)->(1x1x1x2048)	48.45	49.11	0.986560781918143	48.45	49.11	0.986560781918143	1.00	1.00	1.0	46689.51000000001	0.0010006966666370623	0.9643351294926269	47706.37000000002	0.0009945493188926898	0.9661237587119252
Relu@GPU-0@(1x35x35x64)->(1x35x35x64)	4.02	4.06	0.9901477832512315	48.23	48.70	0.9903490759753593	12.00	12.00	1.0	46737.74000000001	0.0009961527395646133	0.9653312822321916	47755.070000000014	0.0009862462193051108	0.9671100049312303
BatchNormWithGlobalNormalization@GPU-0@(1x149x149x32)(32x1)(32x1)(32x1)(32x1)->(1x149x149x32)	48.09	47.43	1.0139152435167615	48.09	47.43	1.0139152435167615	1.00	1.00	1.0	46785.83000000001	0.0009932611496094187	0.966324543381801	47802.500000000015	0.0009605268620460248	0.9680705317932764
Relu@GPU-0@(1x71x71x192)->(1x71x71x192)	47.53	48.14	0.9873286248442044	47.53	48.14	0.9873286248442044	1.00	1.00	1.0	46833.36000000001	0.0009816947897886394	0.9673062381715896	47850.640000000014	0.0009749054003562224	0.9690454371936327
BatchNormWithGlobalNormalization@GPU-0@(1x17x17x128)(128x1)(128x1)(128x1)(1)->(1x17x17x128)	9.43	9.42	1.0010615711252653	47.15	47.11	1.0008490766291658	5.00	5.00	1.0	46880.51000000001	0.0009738461884816819	0.9682800843600713	47897.750000000015	0.0009540463940752314	0.9699994835877079
BatchNormWithGlobalNormalization@GPU-0@(1x73x73x80)(80x1)(80x1)(80x1)(80x1)->(1x73x73x80)	45.99	47.20	0.974364406779661	45.99	47.20	0.974364406779661	1.00	1.00	1.0	46926.50000000001	0.0009498873002814963	0.9692299716603527	47944.95000000001	0.0009558690256920171	0.9709553526133999
BatchNormWithGlobalNormalization@GPU-0@(1x147x147x32)(32x1)(32x1)(32x1)(1)->(1x147x147x32)	44.93	46.62	0.9637494637494638	44.93	46.62	0.9637494637494638	1.00	1.00	1.0	46971.43000000001	0.0009279938334778785	0.9701579654938306	47991.570000000014	0.0009441231774949541	0.9718994757908949
Concat@GPU-0@(1)(1x35x35x64)(1x35x35x64)(1x35x35x96)(1x35x35x64)->(1x35x35x288)	22.26	22.45	0.9915367483296215	44.52	44.89	0.9917576297616396	2.00	2.00	1.0	47015.950000000004	0.0009195256057519509	0.9710774910995825	48036.460000000014	0.0009090881475278526	0.9728085639384227
Conv2D@GPU-0@(1x17x17x768)(1x1x768x128)->(1x17x17x128)	21.30	21.27	1.001410437235543	42.59	42.54	1.0011753643629526	2.00	2.00	1.0	47058.54	0.0008796629727981938	0.9719571540723807	48079.000000000015	0.0008614972108673391	0.9736700611492901
Conv2D@GPU-0@(1x8x8x2048)(1x1x2048x448)->(1x8x8x448)	36.81	37.49	0.9818618298212857	36.81	37.49	0.9818618298212857	1.00	1.00	1.0	47095.35	0.0007602816160765793	0.9727174356884573	48116.49000000001	0.0007592273257032568	0.9744292884749933
Const@GPU-0@(no input)->(96x1)	1.44	1.16	1.2413793103448276	35.90	29.07	1.2349501203990367	25.00	25.00	1.0	47131.25	0.0007414862813678129	0.9734589219698251	48145.56000000001	0.0005887100122217571	0.975017998487215
Conv2D@GPU-0@(1x8x8x2048)(1x1x2048x384)->(1x8x8x384)	35.09	35.49	0.9887292194984503	35.09	35.49	0.9887292194984503	1.00	1.00	1.0	47166.34	0.0007247563680556145	0.9741836783378807	48181.05000000001	0.0007187244008857984	0.9757367228881009
Conv2D@GPU-0@(1x8x8x2048)(1x1x2048x320)->(1x8x8x320)	34.72	34.82	0.9971280873061459	34.72	34.82	0.9971280873061459	1.00	1.00	1.0	47201.06	0.0007171143088883138	0.974900792646769	48215.87000000001	0.0007051559210719499	0.9764418788091728
Relu@GPU-0@(1x149x149x32)->(1x149x149x32)	32.66	33.21	0.9834387232761215	32.66	33.21	0.9834387232761215	1.00	1.00	1.0	47233.72	0.0006745666281190186	0.975575359274888	48249.08000000001	0.0006725510665938959	0.9771144298757667
Const@GPU-0@(no input)->(128x1)	1.70	1.53	1.1111111111111112	32.30	29.06	1.1114934618031658	19.00	19.00	1.0	47266.020000000004	0.0006671311110913749	0.9762424903859794	48278.14000000001	0.0005885074975976698	0.9777029373733643
Relu@GPU-0@(1x17x17x160)->(1x17x17x160)	2.67	2.65	1.0075471698113208	32.04	31.74	1.00945179584121	12.00	12.00	1.0	47298.060000000005	0.0006617610154602988	0.9769042514014398	48309.880000000005	0.0006427814168530639	0.9783457187902174
Relu@GPU-0@(1x147x147x32)->(1x147x147x32)	31.79	31.69	1.0031555695803092	31.79	31.69	1.0031555695803092	1.00	1.00	1.0	47329.850000000006	0.0006565974619688795	0.9775608488634087	48341.57000000001	0.0006417688437326276	0.97898748763395
Conv2D@GPU-0@(1x35x35x192)(1x1x192x64)->(1x35x35x64)	15.52	15.71	0.9879057924888606	31.04	31.41	0.9882203120025469	2.00	2.00	1.0	47360.89000000001	0.0006411068014946216	0.9782019556649033	48372.98000000001	0.0006360984342581834	0.9796235860682082
Conv2D@GPU-0@(1x8x8x2048)(1x1x2048x192)->(1x8x8x192)	30.84	31.19	0.9887784546328952	30.84	31.19	0.9887784546328952	1.00	1.00	1.0	47391.73	0.0006369759587014862	0.9788389316236048	48404.17000000001	0.000631643112528263	0.9802552291807365
ResizeBilinear@GPU-0@(1x100x100x3)(int32 2x1)->(1x299x299x3)	28.04	27.70	1.0122743682310469	28.04	27.70	1.0122743682310469	1.00	1.00	1.0	47419.770000000004	0.0005791441595975899	0.9794180757832024	48431.87000000001	0.0005609655087217982	0.9808161946894582
Identity@GPU-0@(1x35x35x64)->(1x35x35x64)	2.24	2.16	1.037037037037037	26.90	25.90	1.0386100386100385	12.00	12.00	1.0	47446.670000000006	0.0005555983556767178	0.9799736741388791	48457.77000000001	0.0005245128763860856	0.9813407075658444
MaxPool@GPU-0@(1x8x8x2048)->(1x8x8x2048)	26.71	26.85	0.9947858472998138	26.71	26.85	0.9947858472998138	1.00	1.00	1.0	47473.380000000005	0.0005516740550232392	0.9805253481939024	48484.62000000001	0.0005437517656743784	0.9818844593315187
Relu@GPU-0@(1x8x8x384)->(1x8x8x384)	2.16	2.10	1.0285714285714287	25.93	25.26	1.0265241488519397	12.00	12.00	1.0	47499.310000000005	0.0005355637681300108	0.9810609119620324	48509.88000000001	0.000511551940444499	0.9823960112719632
Conv2D@GPU-0@(1x8x8x1280)(1x1x1280x448)->(1x8x8x448)	24.41	24.78	0.9850686037126715	24.41	24.78	0.9850686037126715	1.00	1.00	1.0	47523.72000000001	0.0005041693629021815	0.9815650813249346	48534.66000000001	0.000501831238488309	0.9828978425104515
Conv2D@GPU-0@(1x8x8x1280)(1x1x1280x384)->(1x8x8x384)	23.86	23.92	0.9974916387959866	23.86	23.92	0.9974916387959866	1.00	1.00	1.0	47547.58000000001	0.0004928095452210589	0.9820578908701556	48558.58000000001	0.0004844149808168019	0.9833822574912683
Conv2D@GPU-0@(1x8x8x1280)(1x1x1280x320)->(1x8x8x320)	23.83	23.68	1.0063344594594594	23.83	23.68	1.0063344594594594	1.00	1.00	1.0	47571.41000000001	0.0004921899188020886	0.9825500807889577	48582.26000000001	0.00047955462983870683	0.983861812121107
Concat@GPU-0@(1)(1x8x8x320)(1x8x8x384)(1x8x8x384)(1x8x8x384)(1x8x8x384)(1x8x8x192)->(1x8x8x2048)	11.90	12.21	0.9746109746109746	23.80	24.42	0.9746109746109746	2.00	2.00	1.0	47595.210000000014	0.0004915702923831184	0.9830416510813408	48606.68000000001	0.0004945407120211664	0.9843563528331282
MaxPool@GPU-0@(1x35x35x288)->(1x17x17x288)	23.63	23.87	0.989945538332635	23.63	23.87	0.989945538332635	1.00	1.00	1.0	47618.84000000001	0.0004880590760089532	0.9835297101573497	48630.55000000001	0.0004834024076963654	0.9848397552408246
Identity@GPU-0@(1x8x8x384)->(1x8x8x384)	1.88	1.83	1.0273224043715845	22.53	22.01	1.0236256247160382	12.00	12.00	1.0	47641.37000000001	0.0004653394406467083	0.9839950495979964	48652.56000000001	0.00044573468761612917	0.9852854899284407
Identity@GPU-0@(1x17x17x160)->(1x17x17x160)	1.86	1.74	1.0689655172413794	22.34	20.86	1.0709491850431447	12.00	12.00	1.0	47663.71000000001	0.0004614151399932296	0.9844564647379896	48673.42000000001	0.00042244550584609057	0.9857079354342868
Const@GPU-0@(no input)->(1x1x768x192)	1.85	1.39	1.3309352517985613	22.15	16.66	1.32953181272509	12.00	12.00	1.0	47685.86000000001	0.00045749083933975087	0.9849139555773294	48690.080000000016	0.00033738936372942804	0.9860453247980162
Conv2D@GPU-0@(1x8x8x1280)(1x1x1280x192)->(1x8x8x192)	21.82	21.60	1.010185185185185	21.82	21.60	1.010185185185185	1.00	1.00	1.0	47707.68000000001	0.0004506749487310774	0.9853646305260605	48711.680000000015	0.00043743158802855023	0.9864827563860448
BatchNormWithGlobalNormalization@GPU-0@(1x35x35x48)(48x1)(48x1)(48x1)(1)->(1x35x35x48)	10.55	10.78	0.9786641929499074	21.10	21.56	0.9786641929499074	2.00	2.00	1.0	47728.780000000006	0.0004358039146757898	0.9858004344407363	48733.24000000001	0.00043662152953220096	0.9869193779155769
Concat@GPU-0@(int32 1x1)(1x35x35x64)(1x35x35x64)(1x35x35x96)(1x35x35x32)->(1x35x35x256)	20.24	20.53	0.9858743302484169	20.24	20.53	0.9858743302484169	1.00	1.00	1.0	47749.020000000004	0.0004180412906653073	0.9862184757314016	48753.77000000001	0.00041576252325120996	0.9873351404388282
Conv2D@GPU-0@(1x35x35x288)(1x1x288x48)->(1x35x35x48)	19.96	19.91	1.0025113008538424	19.96	19.91	1.0025113008538424	1.00	1.00	1.0	47768.98	0.00041225811075491775	0.9866307338421566	48773.680000000015	0.00040320661655779785	0.987738347055386
BatchNormWithGlobalNormalization@GPU-0@(1x8x8x192)(192x1)(192x1)(192x1)(1)->(1x8x8x192)	6.51	6.93	0.9393939393939394	19.53	20.80	0.9389423076923077	3.00	3.00	1.0	47788.51	0.00040337679874967653	0.9870341106409063	48794.48000000002	0.00042123041810156685	0.9881595774734876
Relu@GPU-0@(1x35x35x96)->(1x35x35x96)	2.70	2.79	0.967741935483871	18.93	19.50	0.9707692307692307	7.00	7.00	1.0	47807.44	0.00039098427037027015	0.9874250949112766	48813.98000000002	0.0003949035169702189	0.9885544809904578
Conv2D@GPU-0@(1x35x35x192)(1x1x192x32)->(1x35x35x32)	18.02	18.14	0.9933847850055126	18.02	18.14	0.9933847850055126	1.00	1.00	1.0	47825.46	0.00037218893566150386	0.9877972838469381	48832.12000000002	0.00036736152809434725	0.9889218425185522
BatchNormWithGlobalNormalization@GPU-0@(1x35x35x96)(96x1)(96x1)(96x1)(96x1)->(1x35x35x96)	17.66	17.73	0.9960518894529047	17.66	17.73	0.9960518894529047	1.00	1.00	1.0	47843.12	0.0003647534186338601	0.988162037265572	48849.85000000002	0.00035905842850676825	0.989280900947059
Conv2D@GPU-0@(1x35x35x256)(1x1x256x48)->(1x35x35x48)	17.44	17.51	0.9960022844089091	17.44	17.51	0.9960022844089091	1.00	1.00	1.0	47860.560000000005	0.0003602094915614111	0.9885222467571334	48867.36000000002	0.0003546031067768479	0.9896355040538358
Relu@GPU-0@(1x73x73x80)->(1x73x73x80)	16.12	16.12	1.0	16.12	16.12	1.0	1.00	1.00	1.0	47876.68000000001	0.00033294592912671715	0.9888551926862601	48883.480000000025	0.0003264535740287143	0.9899619576278645
