Const/GPU-0/(no input)->(7x1x160x160)	[757, 400, -1]
Const/GPU-0/(no input)->(3x1x384x384)	[753, 400, -1]
Const/GPU-0/(no input)->(7x1x192x192)	[737, 400, -1]
Const/GPU-0/(no input)->(1x1x288x64)	[722, 400, -1]
BatchNormWithGlobalNormalization/GPU-0/(1x8x8x320)(320x1)(320x1)(320x1)(320x1)->(1x8x8x320)	[719, 100, -1]
Const/GPU-0/(no input)->(3x3x96x96)	[710, 400, -1]
Concat/GPU-0/(1)(1x8x8x320)(1x8x8x192)(1x8x8x768)->(1x8x8x1280)	[690, 100, -1]
Const/GPU-0/(no input)->(1x3x384x384)	[688, 400, -1]
BatchNormWithGlobalNormalization/GPU-0/(1x8x8x448)(448x1)(448x1)(448x1)(1)->(1x8x8x448)	[685, 100, -1]
Const/GPU-0/(no input)->(3x3x64x96)	[679, 400, -1]
Relu/GPU-0/(1x8x8x192)->(1x8x8x192)	[670, 300, -1]
Relu/GPU-0/(1x8x8x320)->(1x8x8x320)	[665, 300, -1]
Identity/GPU-0/(1x35x35x48)->(1x35x35x48)	[646, 300, -1]
Const/GPU-0/(no input)->(1x1x768x160)	[645, 400, -1]
Identity/GPU-0/(1x8x8x192)->(1x8x8x192)	[627, 300, -1]
Identity/GPU-0/(1x8x8x320)->(1x8x8x320)	[623, 300, -1]
BatchNormWithGlobalNormalization/GPU-0/(1x8x8x448)(448x1)(448x1)(448x1)(448x1)->(1x8x8x448)	[623, 100, -1]
NoOp/GPU-0/(no input)->(no output info)	[584, 100, -1]
Relu/GPU-0/(1x17x17x384)->(1x17x17x384)	[567, 100, -1]
Sub/GPU-0/(1x299x299x3)(1x1)->(1x299x299x3)	[540, 100, 268203]
Const/GPU-0/(no input)->(80x1)	[533, 400, -1]
Identity/GPU-0/(1x71x71x192)->(1x71x71x192)	[517, 200, -1]
Relu/GPU-0/(1x8x8x448)->(1x8x8x448)	[514, 200, -1]
Mul/GPU-0/(1x299x299x3)(1x1)->(1x299x299x3)	[499, 100, 268203]
Identity/GPU-0/(1x147x147x64)->(1x147x147x64)	[489, 200, -1]
Const/GPU-0/(no input)->(5x5x48x64)	[483, 300, -1]
Const/GPU-0/(no input)->(1x1x256x64)	[417, 300, -1]
Const/GPU-0/(no input)->(7x1x128x128)	[413, 200, -1]
ExpandDims/GPU-0/(100x100x3)(int32 1x1)->(1x100x100x3)	[413, 100, -1]
Const/GPU-0/(no input)->(1x7x128x128)	[400, 200, -1]
Const/GPU-0/(no input)->(1x1x192x64)	[368, 200, -1]
Const/GPU-0/(no input)->(1x1x768x128)	[367, 200, -1]
Identity/GPU-0/(1x8x8x448)->(1x8x8x448)	[366, 200, -1]
Const/GPU-0/(no input)->(7x1x160x192)	[356, 200, -1]
Const/GPU-0/(no input)->(1x7x160x192)	[333, 200, -1]
MEMCPYHtoD/GPU-0/(Transfer)->(30000 bytes)	[319, 100, -1]
Relu/GPU-0/(1x35x35x32)->(1x35x35x32)	[297, 100, -1]
Const/GPU-0/(no input)->(3x3x448x384)	[294, 200, -1]
Identity/GPU-0/(1x149x149x32)->(1x149x149x32)	[286, 100, -1]
Const/GPU-0/(no input)->(1x1)	[279, 200, -1]
Identity/GPU-0/(1x73x73x80)->(1x73x73x80)	[275, 100, -1]
Identity/GPU-0/(1x35x35x32)->(1x35x35x32)	[271, 100, -1]
