resnet_model/batch_normalization_12/beta/Momentum@GPU-0@(no input)->(512x1)	resnet_model/batch_normalization_12/beta/Momentum	VariableV2	GPU-0	1	1	3	(no input)->(512x1)	0	1	0
gradients/AddN_31@GPU-0@(1x1x256x1024)(1x1x256x1024)->(1x1x256x1024)	gradients/AddN_31	AddN	GPU-0	0	20	20	(1x1x256x1024)(1x1x256x1024)->(1x1x256x1024)	1	1	0
resnet_model/batch_normalization_40/FusedBatchNorm@GPU-0@(64x512x14x14)(512x1)(512x1)(1x1)(1x1)->(64x512x14x14)(512x1 slot 1 slot )(512x1 slot 2 slot )(512x1 slot 3 slot )(512x1 slot 4 slot )	resnet_model/batch_normalization_40/FusedBatchNorm	FusedBatchNorm	GPU-0	0	400	400	(64x512x14x14)(512x1)(512x1)(1x1)(1x1)->(64x512x14x14)(512x1 slot 1 slot )(512x1 slot 2 slot )(512x1 slot 3 slot )(512x1 slot 4 slot )	1	1	0
add@GPU-0@(1x1)(1x1)->(1x1)	add	Add	GPU-0	0	3	3	(1x1)(1x1)->(1x1)	1	1	0
gradients/AddN_6@GPU-0@(1x1x512x2048)(1x1x512x2048)->(1x1x512x2048)	gradients/AddN_6	AddN	GPU-0	0	82	82	(1x1x512x2048)(1x1x512x2048)->(1x1x512x2048)	1	1	0
resnet_model/batch_normalization_21/gamma/read@GPU-0@(512x1)->(512x1)	resnet_model/batch_normalization_21/gamma/read	Identity	GPU-0	0	1	2	(512x1)->(512x1)	0	1	0
resnet_model/batch_normalization_28/gamma/Momentum@GPU-0@(no input)->(256x1)	resnet_model/batch_normalization_28/gamma/Momentum	VariableV2	GPU-0	1	2	17	(no input)->(256x1)	0	1	0
ConstantFolding/gradients/resnet_model/conv2d_51/Conv2D_grad/ShapeN-matshapes-0@GPU-0@(no input)->(int32 4x1)	ConstantFolding/gradients/resnet_model/conv2d_51/Conv2D_grad/ShapeN-matshapes-0	Const	GPU-0	0	1	2	(no input)->(int32 4x1)	0	1	0
gradients/L2Loss_13_grad/mul@GPU-0@(3x3x128x128)(1x1)->(3x3x128x128)	gradients/L2Loss_13_grad/mul	Mul	GPU-0	0	9	9	(3x3x128x128)(1x1)->(3x3x128x128)	1	1	0
gradients/resnet_model/conv2d_41/Conv2D_grad/Conv2DBackpropFilter@GPU-0@(64x256x14x14)(int32 4x1)(64x256x14x14)(256x1 slot 1 slot )(256x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )->(3x3x256x256)	gradients/resnet_model/conv2d_41/Conv2D_grad/Conv2DBackpropFilter	Conv2DBackpropFilter	GPU-0	0	2369	2369	(64x256x14x14)(int32 4x1)(64x256x14x14)(256x1 slot 1 slot )(256x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )->(3x3x256x256)	1	1	0
resnet_model/batch_normalization_2/moving_variance/read@GPU-0@(64x1)->(64x1)	resnet_model/batch_normalization_2/moving_variance/read	Identity	GPU-0	0	1	2	(64x1)->(64x1)	0	1	0
resnet_model/batch_normalization_44/beta/Momentum@GPU-0@(no input)->(512x1)	resnet_model/batch_normalization_44/beta/Momentum	VariableV2	GPU-0	1	2	4	(no input)->(512x1)	0	1	0
resnet_model/batch_normalization_12/FusedBatchNorm@GPU-0@(64x512x28x28)(512x1)(512x1)(1x1)(1x1)->(64x512x28x28)(512x1 slot 1 slot )(512x1 slot 2 slot )(512x1 slot 3 slot )(512x1 slot 4 slot )	resnet_model/batch_normalization_12/FusedBatchNorm	FusedBatchNorm	GPU-0	0	2021	2021	(64x512x28x28)(512x1)(512x1)(1x1)(1x1)->(64x512x28x28)(512x1 slot 1 slot )(512x1 slot 2 slot )(512x1 slot 3 slot )(512x1 slot 4 slot )	1	1	0
resnet_model/batch_normalization_3/AssignMovingAvg/mul@GPU-0@(256x1)(1x1)->(256x1)	resnet_model/batch_normalization_3/AssignMovingAvg/mul	Mul	GPU-0	0	2	2	(256x1)(1x1)->(256x1)	1	1	0
resnet_model/batch_normalization_9/gamma/read@GPU-0@(256x1)->(256x1)	resnet_model/batch_normalization_9/gamma/read	Identity	GPU-0	0	1	2	(256x1)->(256x1)	0	1	0
ConstantFolding/gradients/resnet_model/conv2d_49/Conv2D_grad/ShapeN-matshapes-1@GPU-0@(no input)->(int32 4x1)	ConstantFolding/gradients/resnet_model/conv2d_49/Conv2D_grad/ShapeN-matshapes-1	Const	GPU-0	0	1	2	(no input)->(int32 4x1)	0	1	0
resnet_model/batch_normalization_43/beta/Momentum@GPU-0@(no input)->(512x1)	resnet_model/batch_normalization_43/beta/Momentum	VariableV2	GPU-0	0	4	5	(no input)->(512x1)	0	1	0
resnet_model/batch_normalization_16/beta/Momentum@GPU-0@(no input)->(128x1)	resnet_model/batch_normalization_16/beta/Momentum	VariableV2	GPU-0	0	2	3	(no input)->(128x1)	0	1	0
resnet_model/batch_normalization/moving_variance/read@GPU-0@(64x1)->(64x1)	resnet_model/batch_normalization/moving_variance/read	Identity	GPU-0	0	1	2	(64x1)->(64x1)	0	1	0
resnet_model/conv2d_18/kernel/Momentum@GPU-0@(no input)->(1x1x512x128)	resnet_model/conv2d_18/kernel/Momentum	VariableV2	GPU-0	0	2	4	(no input)->(1x1x512x128)	0	1	0
gradients/AddN_64@GPU-0@(64x256x56x56)(64x256x56x56)(256x1 slot 1 slot )(256x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )->(64x256x56x56)	gradients/AddN_64	AddN	GPU-0	0	3910	3910	(64x256x56x56)(64x256x56x56)(256x1 slot 1 slot )(256x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )->(64x256x56x56)	1	1	0
resnet_model/batch_normalization_47/moving_variance/read@GPU-0@(512x1)->(512x1)	resnet_model/batch_normalization_47/moving_variance/read	Identity	GPU-0	1	0	2	(512x1)->(512x1)	0	1	0
gradients/L2Loss_8_grad/mul@GPU-0@(1x1x256x64)(1x1)->(1x1x256x64)	gradients/L2Loss_8_grad/mul	Mul	GPU-0	0	2	2	(1x1x256x64)(1x1)->(1x1x256x64)	1	1	0
edge_320_Cast_57/MEMCPYDtoH@GPU-0@(Transfer)->(4 bytes)	edge_320_Cast_57/MEMCPYDtoH	MEMCPYDtoH	GPU-0	0	1	1	(Transfer)->(4 bytes)	0	0	1
resnet_model/batch_normalization_43/beta/read@GPU-0@(512x1)->(512x1)	resnet_model/batch_normalization_43/beta/read	Identity	GPU-0	0	1	1	(512x1)->(512x1)	0	1	0
resnet_model/batch_normalization_19/moving_variance@GPU-0@(no input)->(128x1)	resnet_model/batch_normalization_19/moving_variance	VariableV2	GPU-0	1	1	3	(no input)->(128x1)	0	1	0
resnet_model/batch_normalization_25/moving_mean@GPU-0@(no input)->(256x1)	resnet_model/batch_normalization_25/moving_mean	VariableV2	GPU-0	0	2	4	(no input)->(256x1)	0	1	0
gradients/resnet_model/batch_normalization_28/FusedBatchNorm_grad/FusedBatchNormGrad@GPU-0@(64x256x14x14)(64x256x14x14)(256x1)(256x1)(256x1)->(64x256x14x14)(256x1 slot 1 slot )(256x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )	gradients/resnet_model/batch_normalization_28/FusedBatchNorm_grad/FusedBatchNormGrad	FusedBatchNormGrad	GPU-0	0	291	291	(64x256x14x14)(64x256x14x14)(256x1)(256x1)(256x1)->(64x256x14x14)(256x1 slot 1 slot )(256x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )	1	1	0
gradients/resnet_model/batch_normalization_48/FusedBatchNorm_grad/FusedBatchNormGrad@GPU-0@(64x2048x7x7)(64x2048x7x7)(2048x1)(2048x1)(2048x1)->(64x2048x7x7)(2048x1 slot 1 slot )(2048x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )	gradients/resnet_model/batch_normalization_48/FusedBatchNorm_grad/FusedBatchNormGrad	FusedBatchNormGrad	GPU-0	0	557	557	(64x2048x7x7)(64x2048x7x7)(2048x1)(2048x1)(2048x1)->(64x2048x7x7)(2048x1 slot 1 slot )(2048x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )	1	1	0
