AddN, (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), GPU, 0
Momentum/update_resnet_model/batch_normalization_15/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_16/beta/ApplyMomentum, (32x1), (32x1), (1), (int32 1), (32x1), (1), (32x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_16/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_16/gamma/ApplyMomentum, (32x1), (32x1), (1), (int32 1), (32x1), (1), (32x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_16/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_17/beta/ApplyMomentum, (32x1), (32x1), (1), (int32 1), (32x1), (1), (32x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_17/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_17/gamma/ApplyMomentum, (32x1), (32x1), (1), (int32 1), (32x1), (1), (32x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_17/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_18/beta/ApplyMomentum, (32x1), (32x1), (1), (int32 1), (32x1), (1), (32x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_18/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_18/gamma/ApplyMomentum, (32x1), (32x1), (1), (int32 1), (32x1), (1), (32x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_18/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_19/beta/ApplyMomentum, (32x1), (32x1), (1), (int32 1), (32x1), (1), (32x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_19/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_19/gamma/ApplyMomentum, (32x1), (32x1), (1), (int32 1), (32x1), (1), (32x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_19/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_2/beta/ApplyMomentum, (16x1), (16x1), (1), (int32 1), (16x1), (1), (16x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_2/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_2/gamma/ApplyMomentum, (16x1), (16x1), (1), (int32 1), (16x1), (1), (16x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_2/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_20/beta/ApplyMomentum, (32x1), (32x1), (1), (int32 1), (32x1), (1), (32x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_20/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_20/gamma/ApplyMomentum, (32x1), (32x1), (1), (int32 1), (32x1), (1), (32x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_20/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_21/beta/ApplyMomentum, (64x1), (64x1), (1), (int32 1), (64x1), (1), (64x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_21/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
