Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OPs in RegisterStatistics	GFLOP/S achieved	Op name	Device	Input/output tensors
71	  3517.35	     1.00	  3517.35	     0.50	440419.13	    63.05	     0.00	     0.00	MEMCPYDtoD	GPU-0	(Transfer)->(1 bytes)
72	  3506.00	     1.00	  3506.00	     0.50	443925.13	    63.56	13153337344.00	  3751.66	Conv2D	GPU-0	(64x256x56x56)(1x1x256x512)->(64x512x28x28)
73	  3487.81	     1.00	  3487.81	     0.50	447412.94	    64.06	15105785856.00	  4331.02	Conv2D	GPU-0	(64x3x230x230)(7x7x3x64)->(64x64x112x112)
74	  3462.88	     1.00	  3462.88	     0.50	450875.82	    64.55	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x64x56x56)(int32 4x1)(64x256x56x56)(256x1)(256x1)(1x1)(1x1)->(1x1x64x256)
75	  3449.21	     1.00	  3449.21	     0.49	454325.03	    65.05	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x512x28x28)(int32 4x1)(64x256x28x28)(256x1)(256x1)(1x1)(1x1)->(1x1x512x256)
76	  3445.78	     1.00	  3445.78	     0.49	457770.81	    65.54	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x256x128)(64x128x56x56)(128x1)(128x1)(1x1)(1x1)->(64x256x56x56)
77	  3379.32	     1.00	  3379.32	     0.48	461150.13	    66.02	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x1024x512)(64x512x14x14)(512x1)(512x1)(1x1)(1x1)->(64x1024x14x14)
78	  3355.91	     1.00	  3355.91	     0.48	464506.04	    66.50	    54.00	     0.00	AddN	GPU-0	(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)->(1x1)
79	  1117.83	     3.00	  3353.49	     0.48	467859.53	    66.98	19730006016.00	  5883.42	Conv2D	GPU-0	(64x512x28x28)(1x1x512x128)->(64x128x28x28)
80	  1675.42	     2.00	  3350.84	     0.48	471210.37	    67.46	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x512x2048)(64x2048x7x7)->(64x512x7x7)
81	   110.85	    30.00	  3325.45	     0.48	474535.82	    67.94	  7680.00	     0.00	Sub	GPU-0	(256x1)(256x1)->(256x1)
82	   825.45	     4.00	  3301.79	     0.47	477837.61	    68.41	51380224.00	    15.56	AddN	GPU-0	(64x1024x14x14)(64x1024x14x14)(1024x1)(1024x1)(1x1)(1x1)->(64x1024x14x14)
83	   531.98	     6.00	  3191.87	     0.46	481029.48	    68.87	4718586.00	     1.48	L2Loss	GPU-0	(1x1x256x1024)->(1x1)
84	   105.99	    30.00	  3179.83	     0.46	484209.31	    69.32	  7680.00	     0.00	Mul	GPU-0	(256x1)(1x1)->(256x1)
85	   794.87	     4.00	  3179.49	     0.46	487388.80	    69.78	     0.00	     0.00	Relu	GPU-0	(64x512x28x28)(512x1)(512x1)(512x1)(512x1)->(64x512x28x28)
86	  1543.82	     2.00	  3087.63	     0.44	490476.43	    70.22	13153337344.00	  4260.01	Conv2D	GPU-0	(64x2048x7x7)(1x1x2048x512)->(64x512x7x7)
87	   611.57	     5.00	  3057.86	     0.44	493534.29	    70.66	     0.00	     0.00	FusedBatchNormGrad	GPU-0	(64x512x7x7)(64x512x7x7)(512x1)(512x1)(512x1)->(64x512x7x7)(512x1)(512x1)(1x1)(1x1)
88	   752.44	     4.00	  3009.76	     0.43	496544.05	    71.09	1769468.00	     0.59	L2Loss	GPU-0	(3x3x128x128)->(1x1)
89	  2960.87	     1.00	  2960.87	     0.42	499504.92	    71.51	13153337344.00	  4442.39	Conv2D	GPU-0	(64x256x56x56)(1x1x256x128)->(64x128x56x56)
90	   983.57	     3.00	  2950.72	     0.42	502455.64	    71.94	331773.00	     0.11	L2Loss	GPU-0	(3x3x64x64)->(1x1)
91	   479.59	     6.00	  2877.51	     0.41	505333.15	    72.35	10616826.00	     3.69	L2Loss	GPU-0	(3x3x256x256)->(1x1)
92	  2875.28	     1.00	  2875.28	     0.41	508208.43	    72.76	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x256x30x30)(int32 4x1)(64x256x14x14)(256x1)(256x1)(1x1)(1x1)->(3x3x256x256)
93	  2873.85	     1.00	  2873.85	     0.41	511082.28	    73.17	14797504512.00	  5149.02	Conv2D	GPU-0	(64x512x16x16)(3x3x512x512)->(64x512x7x7)
94	   478.04	     6.00	  2868.24	     0.41	513950.52	    73.58	     0.00	     0.00	FusedBatchNorm	GPU-0	(64x1024x14x14)(1024x1)(1024x1)(1x1)(1x1)->(64x1024x14x14)(1024x1)(1024x1)(1024x1)(1024x1)
95	  2833.02	     1.00	  2833.02	     0.41	516783.54	    73.99	13153337344.00	  4642.87	Conv2D	GPU-0	(64x1024x14x14)(1x1x1024x2048)->(64x2048x7x7)
96	   706.76	     4.00	  2827.04	     0.40	519610.58	    74.39	786428.00	     0.28	L2Loss	GPU-0	(1x1x128x512)->(1x1)
97	   561.05	     5.00	  2805.23	     0.40	522415.81	    74.79	3932155.00	     1.40	L2Loss	GPU-0	(1x1x1024x256)->(1x1)
98	  2796.50	     1.00	  2796.50	     0.40	525212.31	    75.19	     0.00	     0.00	MaxPoolGrad	GPU-0	(64x64x112x112)(64x64x56x56)(64x64x56x56)(64x1)(64x1)(1x1)(1x1)->(64x64x112x112)
99	   450.23	     6.00	  2701.40	     0.39	527913.71	    75.58	3538944.00	     1.31	Mul	GPU-0	(3x3x256x256)(1x1)->(3x3x256x256)
100	   381.25	     7.00	  2668.76	     0.38	530582.47	    75.96	     0.00	     0.00	ReluGrad	GPU-0	(64x128x28x28)(64x128x28x28)->(64x128x28x28)
101	  2639.29	     1.00	  2639.29	     0.38	533221.76	    76.34	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x512x256)(64x256x28x28)(256x1)(256x1)(1x1)(1x1)->(64x512x28x28)
102	  2627.80	     1.00	  2627.80	     0.38	535849.56	    76.72	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x256x1024)(64x1024x14x14)(1024x1)(1024x1)(1x1)(1x1)->(64x256x14x14)
103	  2580.23	     1.00	  2580.23	     0.37	538429.79	    77.09	     0.00	     0.00	MEMCPYHtoD	GPU-0	(Transfer)->(38535168 bytes)
104	  2561.65	     1.00	  2561.65	     0.37	540991.44	    77.45	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x64x56x56)(int32 4x1)(64x64x56x56)(64x1)(64x1)(1x1)(1x1)->(1x1x64x64)
105	   419.82	     6.00	  2518.95	     0.36	543510.39	    77.81	     0.00	     0.00	Relu	GPU-0	(64x1024x14x14)(1024x1)(1024x1)(1024x1)(1024x1)->(64x1024x14x14)
106	   495.73	     5.00	  2478.67	     0.35	545989.06	    78.17	1310720.00	     0.53	Mul	GPU-0	(1x1x1024x256)(1x1)->(1x1x1024x256)
107	  2440.72	     1.00	  2440.72	     0.35	548429.78	    78.52	51380224.00	    21.05	AddN	GPU-0	(64x256x56x56)(64x256x56x56)(256x1)(256x1)(1x1)(1x1)->(64x256x56x56)
108	  2413.80	     1.00	  2413.80	     0.35	550843.58	    78.86	51380224.00	    21.29	AddN	GPU-0	(64x256x56x56)(256x1)(256x1)(1x1)(1x1)(64x256x56x56)(256x1)(256x1)(1x1)(1x1)->(64x256x56x56)
109	  2402.77	     1.00	  2402.77	     0.34	553246.35	    79.21	14797504512.00	  6158.52	Conv2D	GPU-0	(64x128x58x58)(3x3x128x128)->(64x128x28x28)
