Op	System_1 time per call	System_2 time per call	Time ratio Sys1/Sys2 (one call)	System_1 total op time	System_2 total op time	Time ratio Sys1/Sys2 (all calls)	System_1 occurence	System_2 occurence	Occurence Ratio	System1 cumulative time	System1 % of total time 	System1 cumulative % of total time 	System2 cumulative time	System2 % of total time 	System2 cumulative % of total time 
ApplyMomentum@GPU-0@(1x1x1024x2048)(1x1x1024x2048)(1x1)(int32 1x1)(1x1x1024x2048)(1x1)->(1x1x1024x2048)	337.20	404.44	0.8337454257739095	337.20	404.44	0.8337454257739095	1.00	1.00	1.0	695145.6899999998	0.00047871496548588626	0.9868821025979024	687175.9200000007	0.0005790339459151874	0.9838250036977041
AssignSub@GPU-0@(1024x1)(1024x1)->(1024x1)	28.06	77.09	0.36399014139317676	336.76	925.09	0.3640294457836535	12.00	12.00	1.0	695482.4499999998	0.00047809030776105294	0.9873601929056635	688101.0100000007	0.0013244449436917236	0.9851494486413959
ApplyMomentum@GPU-0@(1x1x256x1024)(1x1x256x1024)(1x1)(int32 1x1)(1x1x256x1024)(1x1)->(1x1x256x1024)	54.59	72.19	0.7561989195179388	327.55	433.16	0.7561870902207036	6.00	6.00	1.0	695809.9999999999	0.00046501508583897405	0.9878252079915024	688534.1700000007	0.000620152170934187	0.98576960081233
ApplyMomentum@GPU-0@(2048x1001)(2048x1001)(1x1)(int32 1x1)(2048x1001)(1x1)->(2048x1001)	327.41	381.63	0.8579252155228887	327.41	381.63	0.8579252155228887	1.00	1.00	1.0	696137.4099999999	0.0004648163311083453	0.9882900243226108	688915.8000000007	0.0005463770269498886	0.9863159778392799
Mul@GPU-0@(1x1x64x64)(1x1)->(1x1x64x64)	325.73	513.93	0.6338022687914697	325.73	513.93	0.6338022687914697	1.00	1.00	1.0	696463.1399999999	0.00046243127434079993	0.9887524555969516	689429.7300000008	0.0007357900203347646	0.9870517678596147
ApplyMomentum@GPU-0@(512x1)(512x1)(1x1)(int32 1x1)(512x1)(1x1)->(512x1)	16.01	53.36	0.30003748125937035	320.18	1067.20	0.30001874062968514	20.00	20.00	1.0	696783.32	0.00045455206894801624	0.9892070076658996	690496.9300000007	0.0015279028461099	0.9885796707057246
ApplyMomentum@GPU-0@(1x1x128x512)(1x1x128x512)(1x1)(int32 1x1)(1x1x128x512)(1x1)->(1x1x128x512)	79.32	46.40	1.7094827586206895	317.29	185.61	1.709444534238457	4.00	4.00	1.0	697100.61	0.00045044920343717933	0.9896574568693368	690682.5400000007	0.00026573655103678654	0.9888454072567614
Pad@GPU-0@(64x512x14x14)(int32 4x2)->(64x512x16x16)	310.94	430.72	0.7219075037147102	310.94	430.72	0.7219075037147102	1.00	1.00	1.0	697411.5499999999	0.0004414342567265168	0.9900988911260633	691113.2600000007	0.0006166588398392581	0.9894620660966007
FusedBatchNorm@GPU-0@(64x512x14x14)(512x1)(512x1)(1x1)(1x1)->(64x512x14x14)(512x1)(512x1)(512x1)(512x1)	310.17	341.72	0.9076729486128994	310.17	341.72	0.9076729486128994	1.00	1.00	1.0	697721.72	0.0004403411057080586	0.9905392322317713	691454.9800000007	0.0004892381564586536	0.9899513042530593
MEMCPYHtoD@GPU-0@(Transfer)->(256 bytes)	299.92	201.12	1.4912490055688148	299.92	201.12	1.4912490055688148	1.00	1.00	1.0	698021.64	0.0004257894200727373	0.9909650216518441	691656.1000000007	0.0002879421105787323	0.990239246363638
