conv3/Conv2D:Conv2D	/device:GPU:0/stream:all	0	377	377	['(no output)']	
conv3/Conv2D:Conv2D	/device:GPU:0/stream:all	0	716	716	['(no output)']	
conv3/Conv2D:Conv2D	/device:GPU:0/stream:all	0	768	768	['(no output)']	
conv3/Conv2D:Conv2D	/device:GPU:0/stream:all	0	2781	2781	['(no output)']	
conv3/biases	/job:localhost/replica:0/task:0/device:GPU:0	1	2	3	['(384x1)']	conv3/biases = VariableV2()
conv3/biases/read	/job:localhost/replica:0/task:0/device:GPU:0	0	1	2	['(384x1)']	conv3/biases/read = Identity(conv3/biases)
conv3/weights	/job:localhost/replica:0/task:0/device:GPU:0	1	2	4	['(3x3x192x384)']	conv3/weights = VariableV2()
conv3/weights/read	/job:localhost/replica:0/task:0/device:GPU:0	0	1	2	['(3x3x192x384)']	conv3/weights/read = Identity(conv3/weights)
conv3:Relu	/device:GPU:0/stream:13	0	435	435	['(no output)']	
conv3:Relu	/device:GPU:0/stream:all	0	435	435	['(no output)']	
conv4	/job:localhost/replica:0/task:0/device:GPU:0	1	8	10	['(128x256x13x13)']	conv4 = Relu(conv4/BiasAdd)
conv4-2-0-TransposeNCHWToNHWC-LayoutOptimizer	/job:localhost/replica:0/task:0/device:GPU:0	0	11	12	['(128x13x13x256)']	[GPU_0_bfc 24.5MB 24.5MB] conv4-2-0-TransposeNCHWToNHWC-LayoutOptimizer = Transpose(conv4, PermConstNCHWToNHWC-LayoutOptimizer)
conv4-2-0-TransposeNCHWToNHWC-LayoutOptimizer:Transpose	/device:GPU:0/stream:13	0	294	294	['(no output)']	
conv4-2-0-TransposeNCHWToNHWC-LayoutOptimizer:Transpose	/device:GPU:0/stream:all	0	294	294	['(no output)']	
conv4/BiasAdd	/job:localhost/replica:0/task:0/device:GPU:0	1	10	12	['(128x256x13x13)']	conv4/BiasAdd = BiasAdd(conv4/Conv2D, conv4/biases/read)
conv4/BiasAdd:BiasAdd	/device:GPU:0/stream:13	0	357	357	['(no output)']	
conv4/BiasAdd:BiasAdd	/device:GPU:0/stream:all	0	357	357	['(no output)']	
conv4/Conv2D	/job:localhost/replica:0/task:0/device:GPU:0	0	54	57	['(128x256x13x13)']	[GPU_0_bfc 239.1MB 239.1MB] conv4/Conv2D = Conv2D(conv3, conv4/weights/read)
conv4/Conv2D:Conv2D	/device:GPU:0/stream:13	0	116	116	['(no output)']	
conv4/Conv2D:Conv2D	/device:GPU:0/stream:13	0	123	123	['(no output)']	
conv4/Conv2D:Conv2D	/device:GPU:0/stream:13	0	644	644	['(no output)']	
conv4/Conv2D:Conv2D	/device:GPU:0/stream:13	0	1056	1056	['(no output)']	
conv4/Conv2D:Conv2D	/device:GPU:0/stream:13	0	4037	4037	['(no output)']	
conv4/Conv2D:Conv2D	/device:GPU:0/stream:all	0	116	116	['(no output)']	
conv4/Conv2D:Conv2D	/device:GPU:0/stream:all	0	123	123	['(no output)']	
conv4/Conv2D:Conv2D	/device:GPU:0/stream:all	0	644	644	['(no output)']	
conv4/Conv2D:Conv2D	/device:GPU:0/stream:all	0	1056	1056	['(no output)']	
conv4/Conv2D:Conv2D	/device:GPU:0/stream:all	0	4037	4037	['(no output)']	
conv4/biases	/job:localhost/replica:0/task:0/device:GPU:0	0	1	2	['(256x1)']	conv4/biases = VariableV2()
