gradients/pool1_grad/MaxPoolGrad@GPU-0@(128x64x56x56)(128x64x27x27)(128x64x27x27)->(128x64x56x56)	gradients/pool1_grad/MaxPoolGrad	MaxPoolGrad	GPU-0	0	3092	3092	(128x64x56x56)(128x64x27x27)(128x64x27x27)->(128x64x56x56)	1	1	0
gradients/conv4/Conv2D_grad/Conv2DBackpropInput@GPU-0@(int32 4x1)(3x3x384x256)(128x256x13x13)->(128x384x13x13)	gradients/conv4/Conv2D_grad/Conv2DBackpropInput	Conv2DBackpropInput	GPU-0	0	5971	5971	(int32 4x1)(3x3x384x256)(128x256x13x13)->(128x384x13x13)	1	1	0
gradients/conv2/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer@GPU-0@(no input)->(int32 4x1)	gradients/conv2/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer	Const	GPU-0	0	1	2	(no input)->(int32 4x1)	0	1	0
_SOURCE@CPU-0@(no input)->(no output info)	_SOURCE	NoOp	CPU-0	1	1	7	(no input)->(no output info)	0	1	0
gradients/conv2_grad/ReluGrad@GPU-0@(128x192x27x27)(128x192x27x27)->(128x192x27x27)	gradients/conv2_grad/ReluGrad	ReluGrad	GPU-0	0	1381	1381	(128x192x27x27)(128x192x27x27)->(128x192x27x27)	1	1	0
_retval_gradients/conv2/Conv2D_grad/Conv2DBackpropFilter_0_3@CPU-0@(5x5x64x192)->(no output info)	_retval_gradients/conv2/Conv2D_grad/Conv2DBackpropFilter_0_3	_Retval	CPU-0	1	0	1	(5x5x64x192)->(no output info)	0	1	0
conv1/biases@GPU-0@(no input)->(64x1)	conv1/biases	VariableV2	GPU-0	1	2	4	(no input)->(64x1)	0	1	0
conv1@GPU-0@(128x64x56x56)->(128x64x56x56)	conv1	Relu	GPU-0	0	1348	1348	(128x64x56x56)->(128x64x56x56)	1	1	0
conv3/weights/read@GPU-0@(3x3x192x384)->(3x3x192x384)	conv3/weights/read	Identity	GPU-0	0	1	2	(3x3x192x384)->(3x3x192x384)	0	1	0
gradients/conv4_grad/ReluGrad-1-0-TransposeNCHWToNHWC-LayoutOptimizer@GPU-0@(128x256x13x13)(int32 4x1)->(128x13x13x256)	gradients/conv4_grad/ReluGrad-1-0-TransposeNCHWToNHWC-LayoutOptimizer	Transpose	GPU-0	0	293	293	(128x256x13x13)(int32 4x1)->(128x13x13x256)	1	1	0
_retval_gradients/conv5/BiasAdd_grad/BiasAddGrad_0_8@CPU-0@(256x1)->(no output info)	_retval_gradients/conv5/BiasAdd_grad/BiasAddGrad_0_8	_Retval	CPU-0	1	3	6	(256x1)->(no output info)	0	1	0
gradients/conv2_grad/ReluGrad-0-TransposeNHWCToNCHW-LayoutOptimizer@GPU-0@(128x27x27x192)(int32 4x1)->(128x192x27x27)	gradients/conv2_grad/ReluGrad-0-TransposeNHWCToNCHW-LayoutOptimizer	Transpose	GPU-0	0	955	955	(128x27x27x192)(int32 4x1)->(128x192x27x27)	1	1	0
conv5@GPU-0@(128x256x13x13)->(128x256x13x13)	conv5	Relu	GPU-0	0	289	289	(128x256x13x13)->(128x256x13x13)	1	1	0
conv3/BiasAdd@GPU-0@(128x384x13x13)(384x1)->(128x384x13x13)	conv3/BiasAdd	BiasAdd	GPU-0	0	532	532	(128x384x13x13)(384x1)->(128x384x13x13)	1	1	0
gradients/conv5/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer@GPU-0@(no input)->(int32 4x1)	gradients/conv5/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer	Const	GPU-0	1	1	3	(no input)->(int32 4x1)	0	1	0
_retval_gradients/conv3/Conv2D_grad/Conv2DBackpropFilter_0_5@CPU-0@(3x3x192x384)->(no output info)	_retval_gradients/conv3/Conv2D_grad/Conv2DBackpropFilter_0_5	_Retval	CPU-0	0	1	3	(3x3x192x384)->(no output info)	0	1	0
